基金代码,基金简称
159901,易方达深证100ETF
160706,嘉实沪深300ETF联接A
510050,华夏上证50ETF
510630,华夏消费ETF
510180,华安上证180ETF
512600,嘉实中证主要消费ETF
159928,汇添富中证主要消费ETF
510880,华泰柏瑞上证红利ETF
159902,华夏中小企业100ETF
515220,国泰中证煤炭ETF
008279,国泰中证煤炭ETF联接A
008280,国泰中证煤炭ETF联接C
510090,建信责任ETF
001631,天弘中证食品饮料ETF联接A
001632,天弘中证食品饮料ETF联接C
510680,万家上证50ETF
510660,华夏医药ETF
159916,建信深证基本面60ETF
000248,汇添富中证主要消费ETF联接A
530010,建信上证社会责任ETF联接
530015,建信深证基本面60ETF联接A
270010,广发沪深300ETF联接A
510030,华宝上证180价值ETF
159985,华夏饲料豆粕期货ETF
159933,国投瑞银金融地产ETF
510150,招商上证消费80ETF
159915,易方达创业板ETF
217017,招商上证消费80ETF联接A
510650,上证金融地产发起式ETF
512890,华泰柏瑞中证低波动ETF
512040,富国中证价值ETF
159934,易方达黄金ETF
006748,富国中证价值ETF联接A
007937,华夏饲料豆粕期货ETF联接A
159910,嘉实深证基本面120ETF
007938,华夏饲料豆粕期货ETF联接C
110026,易方达创业板ETF联接A
159937,博时黄金ETF
159913,交银深证300价值ETF
160615,鹏华沪深300ETF联接(LOF)A
510290,南方上证380ETF
000218,国泰黄金ETF联接A
512690,鹏华中证酒ETF
518880,华安黄金易ETF
515100,景顺长城红利低波动100ETF
518800,国泰黄金ETF
000216,华安黄金易ETF联接A
510500,南方中证500ETF
159922,嘉实中证500ETF
202025,南方上证380ETF联接A
159905,工银深证红利ETF
240019,华宝中证银行ETF联接A
512070,易方达沪深300非银ETF
519706,交银深证300价值ETF联接
515080,招商中证红利ETF
000217,华安黄金易ETF联接C
510330,华夏沪深300ETF
512640,嘉实中证金融地产ETF
510160,中证南方小康产业指数ETF
159925,南方沪深300ETF
481012,工银深证红利ETF联接A
000613,国寿安保沪深300ETF联接
002610,博时黄金ETF联接A
000307,易方达黄金ETF联接A
510130,中盘ETF
460300,华泰柏瑞沪深300ETF联接A
004253,国泰黄金ETF联接C
007466,华泰柏瑞中证红利低波ETF联接A
159935,景顺长城中证500ETF
110021,易方达上证中盘ETF联接A
159908,博时创业板ETF
510230,国泰上证180金融ETF
510310,易方达沪深300发起式ETF
510510,广发中证500ETF
159918,嘉实中创400ETF
512760,国泰CES半导体芯片ETF
007467,华泰柏瑞中证红利低波ETF联接C
002611,博时黄金ETF联接C
000008,嘉实中证500ETF联接A
160119,南方中证500ETF联接A
159981,建信易盛能源化工期货ETF
002963,易方达黄金ETF联接C
020021,国泰上证180金融ETF联接A
512010,易方达沪深300医药ETF
512190,浙商之江凤凰ETF
050021,博时创业板ETF联接A
159909,招商深证TMT50ETF
159980,大成有色金属期货ETF
159936,广发中证全指可选消费ETF
515700,平安中证新能源汽车产业ETF
159919,嘉实沪深300ETF
